"ID","SampleName","InjectionVol_ul","FAME_compound","Sample_Dilution","Peak_Area","d13","Atom_per_13C","FAME_per_C","Dry_Soil_Mass_g","nmol_FAME_per_g_soil"
1,"01.05.1",3,"12:0",0,17.873,-31.002,1.071749,0.7285,6,6035.87
2,"01.05.1",3,"14:0",0,1.598,107.832,1.223426,0.7432,6,467.77
3,"01.05.1",3,"a15:0",0,27.59,37.836,1.147012,0.7494,6,7571.16
4,"01.05.1",3,"15:0",0,2.95,72.745,1.185137,0.7494,6,809.53
5,"01.05.1",3,"16:1n9/i16:0",0,4.342,313.808,1.447601,0.7606,6,1121.44
6,"01.05.1",3,"16:0",0,39.344,361.223,1.499061,0.755,6,10160.76
7,"01.05.1",3,"i17:0",0,5.433,-37.937,1.06416,0.76,6,1325.14
8,"01.05.1",3,"17:0cy",0,10.32,31.745,1.140358,0.7654,6,2517.19
9,"01.05.1",3,"17:0",0,8.088,16.366,1.12355,0.76,6,1972.71
10,"01.05.1",3,"18:3n6",0,0.652,69.992,1.18213,0.7765,6,159.03
11,"01.05.1",3,"18:2n9,12 and cis-18:1n9 and 183n3",0,11.158,271.615,1.401763,0.775,6,2578.24
12,"01.05.1",3,"18:0",0,10.743,375.38,1.514415,0.7645,6,2482.45
13,"01.05.1",3,"19:0cy",0,49.436,1.653,1.107466,0.7736,6,10852.44
14,"01.05.1",3,"19:0",0,18.796,-28.984,1.073956,0.8216,6,4126.23
15,"01.05.1",3,"20:4n6",0,0.419,1.567,1.107372,0.7919,6,87.6
16,"01.05.1",3,"20:5n3",0,0.303,-4.498,1.10074,0.797,6,63.35
17,"01.13.1",2,"12:0",0,15.53,-31.013,1.071736,0.7285,6.074,6271.83
18,"01.13.1",2,"14:0",0,1.067,5.755,1.11195,0.7432,6.074,373.5
19,"01.13.1",2,"a15:0",0,15.64,-8.881,1.095946,0.7494,6.074,5132.48
20,"01.13.1",2,"15:0",0,1.627,-13.301,1.091112,0.7494,6.074,533.92
21,"01.13.1",2,"16:1n9/i16:0",0,2.254,223.851,1.34982,0.7606,6.074,696.18
22,"01.13.1",2,"16:0",0,21.383,12.774,1.119624,0.755,6.074,6603.85
23,"01.13.1",2,"i17:0",0,4.124,-29.396,1.073506,0.76,6.074,1202.88
24,"01.13.1",2,"17:0cy",0,5.833,-16.705,1.087389,0.7654,6.074,1701.41
25,"01.13.1",2,"17:0",0,5.332,-27.233,1.075872,0.76,6.074,1555.21
26,"01.13.1",2,"18:3n6",0,0.414,-22.638,1.0809,0.7765,6.074,120.75
27,"01.13.1",2,"trans-18:1n9",0,6.115,-21.929,1.081675,0.7697,6.074,1689.78
28,"01.13.1",2,"18:0",0,5.504,0.174,1.105848,0.7645,6.074,1520.95
29,"01.13.1",2,"19:0cy",0,24.437,-33.436,1.069085,0.7736,6.074,6415.24
30,"01.13.1",2,"19:0",0,14.658,-32.145,1.070498,0.8216,6.074,3848.07
31,"01.13.1",2,"20:4n6",0,0.363,-26.851,1.07629,0.7919,6.074,90.76
32,"01.13.2",2,"12:0",0,22.532,-50.775,1.050108,0.7285,6.008,6265.85
33,"01.13.2",2,"14:0",0,2.888,17.481,1.124769,0.7432,6.008,696.11
34,"01.13.2",2,"a15:0",0,49.538,7.656,1.114029,0.7494,6.008,11194.05
35,"01.13.2",2,"15:0",0,5.305,-9.002,1.095814,0.7494,6.008,1198.77
36,"01.13.2",2,"16:1n9/i16:0",0,2.445,957.27,2.141408,0.7606,6.008,520
37,"01.13.2",2,"16:0",0,31.755,103.591,1.218798,0.755,6.008,6753.03
38,"01.13.2",2,"i17:0",0,11.204,-24.938,1.078383,0.76,6.008,2250.25
39,"01.13.2",2,"17:0cy",0,10.547,50.189,1.160506,0.7654,6.008,2118.37
40,"01.13.2",2,"17:0",0,9.311,-15.932,1.088235,0.76,6.008,1870.07
41,"01.13.2",2,"18:3n6",0,0.967,-7.891,1.097029,0.7765,6.008,194.21
42,"01.13.2",2,"trans-18:1n9",0,7.987,0.292,1.105978,0.7697,6.008,1519.76
43,"01.13.2",2,"18:0",0,7.323,73.693,1.186171,0.7645,6.008,1393.43
44,"01.13.2",2,"19:0cy",0,32.807,-30.438,1.072366,0.7736,6.008,5930.46
45,"01.13.2",2,"19:0",0,21.825,-30.585,1.072205,0.8216,6.008,3945.3
46,"01.13.2",2,"20:4n6",0,1.252,-22.933,1.080576,0.7919,6.008,215.56
47,"01.13.2",2,"20:5n3",0,3.083,-27.948,1.07509,0.797,6.008,530.76
48,"01.13.3",2,"12:0",0,14.982,-31.141,1.071596,0.7285,6.002,6359.39
49,"01.13.3",2,"14:0",0,2.528,-18.416,1.085518,0.7432,6.002,930.1
50,"01.13.3",2,"a15:0",0,37.532,-20.079,1.083699,0.7494,6.002,12945.4
51,"01.13.3",2,"15:0",0,4.031,-20.629,1.083097,0.7494,6.002,1390.36
52,"01.13.3",2,"16:1n9/i16:0",0,2.821,88.656,1.202503,0.7606,6.002,915.79
53,"01.13.3",2,"16:0",0,29.174,-6.97,1.098036,0.755,6.002,9469.95
54,"01.13.3",2,"i17:0",0,7.677,-32.55,1.070054,0.76,6.002,2353.52
55,"01.13.3",2,"17:0cy",0,8.058,-21.404,1.082249,0.7654,6.002,2470.39
56,"01.13.3",2,"17:0",0,6.401,-27.395,1.075694,0.76,6.002,1962.33
57,"01.13.3",2,"trans-18:1n9",0,8.874,-20.238,1.083525,0.7697,6.002,2577.37
58,"01.13.3",2,"18:0",0,8.124,-8.908,1.095917,0.7645,6.002,2359.55
59,"01.13.3",2,"19:0cy",0,29.943,-34.337,1.068099,0.7736,6.002,8261.95
60,"01.13.3",2,"19:0",0,14.084,-33.126,1.069424,0.8216,6.002,3886.12
61,"01.13.3",2,"20:4n6",0,0.996,-36.97,1.065218,0.7919,6.002,261.75
62,"01.13.3",2,"20:5n3",0,1.886,-35.259,1.06709,0.797,6.002,495.6
63,"01.05.3",3,"12:0",0,15.032,-39.489,1.062461,0.7285,6.09,5839.29
64,"01.05.3",3,"14:0",0,2.444,13.485,1.120401,0.7432,6.09,822.9
65,"01.05.3",3,"a15:0",0,33.172,-9.676,1.095077,0.7494,6.09,10470.89
66,"01.05.3",3,"15:0",0,3.847,3.815,1.10983,0.7494,6.09,1214.32
67,"01.05.3",3,"16:1n9/i16:0",0,4.681,73.656,1.186131,0.7606,6.09,1390.68
68,"01.05.3",3,"16:0",0,38.88,84.488,1.197955,0.755,6.09,11549.82
69,"01.05.3",3,"i17:0",0,4.478,-32.868,1.069706,0.76,6.09,1256.34
70,"01.05.3",3,"17:0cy",0,9.659,-7.906,1.097013,0.7654,6.09,2710
71,"01.05.3",3,"17:0",0,7.109,-12.531,1.091955,0.76,6.09,1994.48
72,"01.05.3",3,"18:3n6",0,0.806,2.656,1.108563,0.7765,6.09,226.13
73,"01.05.3",3,"trans-18:1n9",0,10.936,49.735,1.16001,0.7697,6.09,2906.8
74,"01.05.3",3,"18:0",0,9.96,86.393,1.200033,0.7645,6.09,2647.38
75,"01.05.3",3,"19:0cy",0,35.779,-20.159,1.083611,0.7736,6.09,9034.7
76,"01.05.3",3,"19:0",0,16.412,-30.499,1.072298,0.8216,6.09,4144.3
77,"01.05.3",3,"20:4n6",0,1.217,3.182,1.109138,0.7919,6.09,292.69
78,"01.05.3",3,"20:5n3",0,1.141,-23.857,1.079566,0.797,6.09,274.39
79,"10.02.2",3,"12:0",0,17.417,-31.144,1.071593,0.7285,5.999,6101.98
80,"10.02.2",3,"14:0",0,3.389,-8.634,1.096217,0.7432,5.999,1029.15
81,"10.02.2",3,"a15:0",0,60.472,-16.173,1.087971,0.7494,5.999,17215.54
82,"10.02.2",3,"15:0",0,5.917,-19.583,1.084241,0.7494,5.999,1684.49
83,"10.02.2",3,"16:1n9/i16:0",0,6.209,71.051,1.183287,0.7606,5.999,1663.66
84,"10.02.2",3,"16:0",0,64.274,-8.548,1.096311,0.755,5.999,17220.22
85,"10.02.2",3,"i17:0",0,10.02,-29.621,1.073259,0.76,5.999,2535.39
86,"10.02.2",3,"17:0cy",0,17.845,-22.842,1.080676,0.7654,5.999,4515.52
87,"10.02.2",3,"17:0",0,13.991,-30.522,1.072274,0.76,5.999,3540.19
88,"10.02.2",3,"18:3n6",0,1.147,1.083,1.106843,0.7765,5.999,290.23
89,"10.02.2",3,"trans-18:1n9",0,16.936,-6.842,1.098177,0.7697,5.999,4059.95
90,"10.02.2",3,"18:0",0,15.803,-13.712,1.090663,0.7645,5.999,3788.35
91,"10.02.2",3,"19:0",0,17.906,-33.295,1.06924,0.8216,5.999,4077.95
92,"10.02.2",3,"20:4n6",0,0.982,-30.363,1.072447,0.7919,5.999,213
